"","sci_name","taxonid","kingdom","phylum","class","order","family","genus","main_common_name","authority","disp_dist_m"
"330","Psychotria trichotoma",136791460,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Psychotria",NA,"M.Martens &amp; Galeotti",1000
"331","Psychotria viridis",205547526,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Psychotria",NA,"Ruiz &amp; Pav.",1000
"332","Pterocarpus acapulcensis",62027788,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Pterocarpus",NA,"Rose",1000
"333","Pterocarpus officinalis",62027812,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Pterocarpus","Bloodwood","Jacq.",1000
"334","Pterocarpus rohrii",62027821,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Pterocarpus",NA,"Vahl",1000
"335","Quararibea asterolepis",136095444,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE","Quararibea",NA,"Pittier",1000
"336","Quassia amara",150011976,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","SIMAROUBACEAE","Quassia",NA,"L.",300
"337","Randia aculeata",62912,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Randia",NA,"L.",1000
"338","Randia armata",150115885,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Randia",NA,"(Sw.) DC.",1000
"339","Randia dioica",206257408,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Randia","Diente de Perro Grande","H.Karst.",1000
"340","Randia hondensis",151971061,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Randia",NA,"H.Karst.",1000
"341","Raritebe palicoureoides",151972344,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Raritebe",NA,"Wernham",1000
"342","Rauvolfia littoralis",150010305,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Rauvolfia",NA,"Rusby",300
"343","Rauvolfia tetraphylla",205547543,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Rauvolfia","Veneno de gusano","L.",300
"344","Rhynchosia minima",19379374,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Rhynchosia",NA,"(L.) DC.",1000
"345","Rinorea pubiflora",151966478,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","VIOLACEAE","Rinorea",NA,"(Benth.) Sprague &amp; Sandwith",1000
"346","Rondeletia purdiei",206257461,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Rondeletia",NA,"Hook.f.",1000
"347","Rosenbergiodendron formosum",151954283,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Rosenbergiodendron",NA,"(Jacq.) Fagerl.",1000
"348","Rudgea crassiloba",145696310,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Rudgea",NA,"(Benth.) B.L.Rob.",1000
"349","Sagotia brachysepala",180074191,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Sagotia",NA,"(Müll.Arg.) Secco",1000
"350","Salacia cordata",151966564,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","CELASTRALES","CELASTRACEAE","Salacia",NA,"(Miers) Mennega",1000
"351","Salix humboldtiana",61960315,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE","Salix",NA,"Willd.",3000
