"species","order","dispersal_rate"
"Sciurus ignitus","Rodentia",0.101718823985851
"Sciurus igniventris","Rodentia",0.205696701523604
"Sciurus spadiceus","Rodentia",0.152730317842798
"Sigmodon hirsutus","Rodentia",0.246025571269775
"Speothos venaticus","Carnivora",4.17011722496076
"Sphaeronycteris toxophyllum","Chiroptera",0.0275420093780273
"Sturnira bidens","Chiroptera",0.0293353126425597
"Sturnira bogotensis","Chiroptera",0.030955983953774
"Sturnira erythromos","Chiroptera",0.0270474057312716
"Sturnira lilium","Chiroptera",0.0311649648894844
"Sturnira ludovici","Chiroptera",0.0318340173675829
"Sturnira luisi","Chiroptera",0.0330468057976689
"Sturnira magna","Chiroptera",0.0330468057976689
"Sturnira tildae","Chiroptera",0.0345133727476289
"Sus scrofa","Cetartiodactyla",2.18698081137794
"Sylvilagus brasiliensis","Lagomorpha",0.541777874471095
"Sylvilagus floridanus","Lagomorpha",0.529239528743902
"Tadarida brasiliensis","Chiroptera",0.0273914298038625
"Tamandua mexicana","Pilosa",0.617661431446289
"Tamandua tetradactyla","Pilosa",0.665685613093561
"Tapirus pinchaque","Perissodactyla",2.02137402235238
"Tapirus terrestris","Perissodactyla",2.1072800332777
"Tayassu pecari","Cetartiodactyla",1.07867010875487
"Thomasomys aureus","Rodentia",0.241687032042936
"Thomasomys cinereiventer","Rodentia",0.224886998749196
"Thomasomys hylophilus","Rodentia",0.224886998749196
"Thomasomys laniger","Rodentia",0.148580841261553
"Thomasomys niveipes","Rodentia",0.185841425022553
"Thyroptera tricolor","Chiroptera",0.0138469421712332
"Tonatia saurophila","Chiroptera",0.0369685234617276
"Trachops cirrhosus","Chiroptera",0.0431605795295739
"Transandinomys bolivaris","Rodentia",0.196544561968261
"Transandinomys talamancae","Rodentia",0.187514082142148
"Tremarctos ornatus","Carnivora",25.0259434657326
"Trinycteris nicefori","Chiroptera",0.0192210966254809
"Urocyon cinereoargenteus","Carnivora",2.12943482339411
"Uroderma bilobatum","Chiroptera",0.0277451071274326
"Uroderma magnirostrum","Chiroptera",0.0286706755052882
"Vampyressa melissa","Chiroptera",0.0280200350288595
"Vampyressa thyone","Chiroptera",0.01781859159229
"Vampyrodes caraccioli","Chiroptera",0.0425185746478861
"Vampyrum spectrum","Chiroptera",0.098979676267029
"Vicugna vicugna","Cetartiodactyla",1.15833517286537
"Zygodontomys brevicauda","Rodentia",0.182343910956515
"Anoura cadenai","Chiroptera",0.0275136891891487
"Bassaricyon medius","Carnivora",1.7484210240097
"Bassaricyon neblina","Carnivora",1.7484210240097
"Capra hircus","Perissodactyla",3.48946849614295
"Cebus versicolor","Primates",0.252314740948725
"Cheracebus lucifer","Primates",0.252314740948725
"Cheracebus lugens","Primates",0.252314740948725
"Coendou ichillus","Rodentia",0.19186660418996
"Coendou pruinosus","Rodentia",0.19186660418996
"Coendou rufescens","Rodentia",0.19186660418996
"Coendou vestitus","Rodentia",0.19186660418996
"Cryptotis colombianus","Rodentia",0.19186660418996
"Cyclopes dorsalis","Pilosa",0.304947049888542
"Cyclopes ida","Pilosa",0.304947049888542
"Dasypus pastasae","Cingulata",0.574451498287265
"Dicotyles tajacu","Perissodactyla",3.48946849614295
"Felis pardalis","Carnivora",1.7484210240097
"Hadrosciurus igniventris","Rodentia",0.19186660418996
"Herpailurus concolor","Carnivora",1.7484210240097
"Herpailurus yagouaroundi","Carnivora",1.7484210240097
"Lagothrix flavicauda","Primates",0.252314740948725
"Lagothrix lagothricha","Primates",0.252314740948725
"Leontocebus fuscus","Primates",0.252314740948725
"Leontocebus nigricollis","Primates",0.252314740948725
"Lycalopex culpaeus","Carnivora",1.7484210240097
"Marmosa isthmica","Didelphimorphia",0.175070015057987
"Marmosa phaea","Didelphimorphia",0.175070015057987
"Marmosops caucae","Didelphimorphia",0.175070015057987
"Marmosops chucha","Didelphimorphia",0.175070015057987
"Mazama sanctaemartae","Perissodactyla",3.48946849614295
"Mazama zetta","Perissodactyla",3.48946849614295
"Metachirus myosuros","Didelphimorphia",0.175070015057987
"Molossus bondae","Chiroptera",0.0275136891891487
"Myoprocta acouchi","Rodentia",0.19186660418996
"Neogale felipei","Carnivora",1.7484210240097
"Neogale frenata","Carnivora",1.7484210240097
"Nephelomys childi","Rodentia",0.19186660418996
"Odocoileus cariacou","Perissodactyla",3.48946849614295
"Odocoileus goudotii","Perissodactyla",3.48946849614295
"Olallamys albicaudus","Rodentia",0.19186660418996
"Philander melanurus","Didelphimorphia",0.175070015057987
"Pithecia hirsuta","Primates",0.252314740948725
"Pithecia milleri","Primates",0.252314740948725
"Plecturocebus caquetensis","Primates",0.252314740948725
"Plecturocebus ornatus","Primates",0.252314740948725
"Saimiri cassiquiarensis","Primates",0.252314740948725
"Saimiri macrodon","Primates",0.252314740948725
"Sapajus apella","Primates",0.252314740948725
"Sylvilagus salentus","Lagomorpha",0.599063342512398
"Syntheosciurus granatensis","Rodentia",0.19186660418996
"Tapirella bairdii","Perissodactyla",3.48946849614295
"Thomasomys dispar","Rodentia",0.19186660418996
