"sp","cor"
"Proechimys.oconnelli",0.999999051035913
"Proechimys.quadruplicatus",0.978819919632416
"Proechimys.semispinosus",0.988171757305547
"Proechimys.simonsi",0.999987353614136
"Pteronotus.davyi",0.977545684434405
"Pteronotus.gymnonotus",0.988627041392773
"Pteronotus.parnellii",0.98329101603615
"Pteronura.brasiliensis",0.999997901487014
"Pudu.mephistophiles",0.998003114178392
"Puma.concolor",0.989373922780723
"Puma.yagouaroundi",0.989643070323932
"Rattus.norvegicus",0.954244118160872
"Rattus.rattus",0.991261051181421
"Reithrodontomys.mexicanus",0.996725887536425
"Rhinophylla.fischerae",0.999951539040479
"Rhinophylla.pumilio",0.984882588383699
"Rhipidomys.fulviventer",0.999924415320279
"Rhogeessa.io",0.993473684131571
"Rhynchonycteris.naso",0.991844778677556
"Saccopteryx.bilineata",0.992321950673682
"Saccopteryx.canescens",0.99519558301836
"Saccopteryx.leptura",0.992698639227383
"Saguinus.geoffroyi",0.992360454527719
"Saguinus.inustus",0.999999080532962
"Saguinus.leucopus",0.994224599989305
"Saguinus.oedipus",0.993122705276372
"Saimiri.cassiquiarensis",0.999991626818342
"Saimiri.macrodon",0.999999996864105
"Saimiri.sciureus",0.999994999331395
"Sapajus.apella",0.999991115687079
"Sciurus.granatensis",0.989193538322656
"Sciurus.ignitus",0.999797124727122
"Sciurus.igniventris",0.978898349961499
"Sciurus.spadiceus",0.999997313526541
"Sigmodon.hirsutus",0.983728537740399
"Speothos.venaticus",0.990088367312628
"Sphaeronycteris.toxophyllum",0.99752026517034
"Sturnira.bidens",0.99930517458144
"Sturnira.bogotensis",0.826676761704532
"Sturnira.erythromos",0.99866610611104
"Sturnira.lilium",0.978157223326335
"Sturnira.ludovici",0.988823941274839
"Sturnira.luisi",0.851341741568597
"Sturnira.magna",0.99868064792661
"Sturnira.tildae",0.992229691711183
"Sus.scrofa",0.988402054405722
"Sylvilagus.brasiliensis",0.991220025935409
"Sylvilagus.floridanus",0.977953406671355
"Sylvilagus.salentus",0.999999999999142
"Syntheosciurus.granatensis",0.989883174200647
"Tadarida.brasiliensis",0.991488850422741
"Tamandua.mexicana",0.992338400987346
"Tamandua.tetradactyla",0.99527800267459
"Tapirella.bairdii",0.986098336190963
"Tapirus.pinchaque",0.993769081075267
"Tapirus.terrestris",0.995037620106988
"Tayassu.pecari",0.994879360090832
"Thomasomys.aureus",0.999806560974987
"Thomasomys.cinereiventer",0.996851591762952
"Thomasomys.dispar",0.999245776181174
"Thomasomys.hylophilus",0.999949133169437
"Thomasomys.laniger",0.999999999999557
"Thomasomys.niveipes",0.99998393345652
"Thyroptera.tricolor",0.978727917721853
"Tonatia.saurophila",0.985157294566425
"Trachops.cirrhosus",0.992281041656182
"Transandinomys.bolivaris",0.991005270284986
"Transandinomys.talamancae",0.98453741086742
"Tremarctos.ornatus",0.998181739389036
"Trinycteris.nicefori",0.982559891022742
"Urocyon.cinereoargenteus",0.991535657082239
"Uroderma.bilobatum",0.9876236269034
"Uroderma.magnirostrum",0.995850387629446
"Vampyressa.melissa",0.999718030078622
"Vampyressa.thyone",0.975111107299937
"Vampyrodes.caraccioli",0.991025646167445
"Vampyrum.spectrum",0.987231953130975
"Vicugna.vicugna",0.99717235583065
"Zygodontomys.brevicauda",0.974503125228026
