"sp","ssp","habitat","big_habitat","connect","time_periods"
"Cacajao.melanocephalus","ssp126",1,1,1,"2021-2040"
"Cacajao.melanocephalus","ssp126",1,1,1,"2041-2060"
"Cacajao.melanocephalus","ssp126",1,1,1,"2061-2080"
"Cacajao.melanocephalus","ssp126",1,1,1,"2081-2100"
"Caenolestes.convelatus","ssp126",1,1,1,"1970-2000"
"Caenolestes.convelatus","ssp126",1,1,1,"2021-2040"
"Caenolestes.convelatus","ssp126",1,1,1,"2041-2060"
"Caenolestes.convelatus","ssp126",1,1,1,"2061-2080"
"Caenolestes.convelatus","ssp126",1,1,1,"2081-2100"
"Caenolestes.fuliginosus","ssp126",1,1,1,"1970-2000"
"Caenolestes.fuliginosus","ssp126",1,1,1,"2021-2040"
"Caenolestes.fuliginosus","ssp126",1,1,1,"2041-2060"
"Caenolestes.fuliginosus","ssp126",1,1,1,"2061-2080"
"Caenolestes.fuliginosus","ssp126",1,1,1,"2081-2100"
"Callicebus.caquetensis","ssp126",1,1,1,"1970-2000"
"Callicebus.caquetensis","ssp126",1,1,1,"2021-2040"
"Callicebus.caquetensis","ssp126",1,1,1,"2041-2060"
"Callicebus.caquetensis","ssp126",1,1,1,"2061-2080"
"Callicebus.caquetensis","ssp126",1,1,1,"2081-2100"
"Callimico.goeldii","ssp126",1,1,1,"1970-2000"
"Callimico.goeldii","ssp126",1,1,1,"2021-2040"
"Callimico.goeldii","ssp126",1,1,1,"2041-2060"
"Callimico.goeldii","ssp126",1,1,1,"2061-2080"
"Callimico.goeldii","ssp126",1,1,1,"2081-2100"
"Caluromys.derbianus","ssp126",1,1,1,"1970-2000"
"Caluromys.derbianus","ssp126",1,1,1,"2021-2040"
"Caluromys.derbianus","ssp126",1,1,1,"2041-2060"
"Caluromys.derbianus","ssp126",1,1,1,"2061-2080"
"Caluromys.derbianus","ssp126",1,1,1,"2081-2100"
"Caluromys.lanatus","ssp126",1,1,1,"1970-2000"
"Caluromys.lanatus","ssp126",1,1,1,"2021-2040"
"Caluromys.lanatus","ssp126",1,1,1,"2041-2060"
"Caluromys.lanatus","ssp126",1,1,1,"2061-2080"
"Caluromys.lanatus","ssp126",1,1,1,"2081-2100"
"Capra.hircus","ssp126",1,1,1,"1970-2000"
"Capra.hircus","ssp126",1,1,1,"2021-2040"
"Capra.hircus","ssp126",1,1,1,"2041-2060"
"Capra.hircus","ssp126",1,1,1,"2061-2080"
"Capra.hircus","ssp126",1,1,1,"2081-2100"
"Carollia.castanea","ssp126",1,1,1,"1970-2000"
"Carollia.castanea","ssp126",1,1,1,"2021-2040"
"Carollia.castanea","ssp126",1,1,1,"2041-2060"
"Carollia.castanea","ssp126",1,1,1,"2061-2080"
"Carollia.castanea","ssp126",1,1,1,"2081-2100"
"Carollia.perspicillata","ssp126",1,1,1,"1970-2000"
"Carollia.perspicillata","ssp126",1,1,1,"2021-2040"
"Carollia.perspicillata","ssp126",1,1,1,"2041-2060"
"Carollia.perspicillata","ssp126",1,1,1,"2061-2080"
"Carollia.perspicillata","ssp126",1,1,1,"2081-2100"
"Cavia.aperea","ssp126",1,1,1,"1970-2000"
"Cavia.aperea","ssp126",1,1,1,"2021-2040"
"Cavia.aperea","ssp126",1,1,1,"2041-2060"
"Cavia.aperea","ssp126",1,1,1,"2061-2080"
"Cavia.aperea","ssp126",1,1,1,"2081-2100"
"Cebuella.pygmaea","ssp126",1,1,1,"1970-2000"
"Cebuella.pygmaea","ssp126",1,1,1,"2021-2040"
"Cebuella.pygmaea","ssp126",1,1,1,"2041-2060"
"Cebuella.pygmaea","ssp126",1,1,1,"2061-2080"
"Cebuella.pygmaea","ssp126",1,1,1,"2081-2100"
"Cebus.albifrons","ssp126",1,1,1,"1970-2000"
"Cebus.albifrons","ssp126",1,1,1,"2021-2040"
"Cebus.albifrons","ssp126",1,1,1,"2041-2060"
"Cebus.albifrons","ssp126",1,1,1,"2061-2080"
"Cebus.albifrons","ssp126",1,1,1,"2081-2100"
"Cebus.apella","ssp126",1,1,1,"1970-2000"
"Cebus.apella","ssp126",1,1,1,"2021-2040"
"Cebus.apella","ssp126",1,1,1,"2041-2060"
"Cebus.apella","ssp126",1,1,1,"2061-2080"
