"species","ssp","aoi_area","cur_area","fut_area","IoU"
"Marmosa.murina","ssp126",4801175.90206019,3494279.19567508,3011253.14417464,84.0242862326895
"Euryoryzomys.macconnelli","ssp126",495132.329556993,147016.754507005,4352.90277838707,2.6416571867661
"Handleyomys.fuscatus","ssp126",206867.640350736,128796.74628222,61798.5193017721,39.2414116707691
"Microryzomys.minutus","ssp585",2682617.22125428,454798.026747108,421230.731408417,83.251392212571
"Euryoryzomys.macconnelli","ssp585",495132.329556993,147016.754507005,4307.45326185226,2.61768627807904
"Herpailurus.yagouaroundi","ssp585",2066389.02089078,1319043.87252027,1143337.66014892,70.3073030390676
"Handleyomys.fuscatus","ssp585",206867.640350736,128796.74628222,73430.3691871166,45.596743273
"Equus.caballus","ssp585",3287478.83846042,1947215.62103122,840356.237089276,39.7395331599896
"Marmosa.murina","ssp585",4801175.90206019,3494279.19567508,2968508.23590183,82.9370058039758
"Molossus.molossus","ssp126",5779711.7744511,4919188.51017928,4598608.29206222,92.3875536693786
"Hylaeamys.perenensis","ssp126",1556709.73063403,1328660.87078398,434016.62998265,28.4558616588095
"Hylaeamys.perenensis","ssp585",1556709.73063403,1328660.87078398,443443.697822511,29.144965046807
"Molossus.molossus","ssp585",5779711.7744511,4919188.51017928,4573230.84363401,91.7448249813416
"Glossophaga.longirostris","ssp126",2019062.98005696,662703.640886068,551495.071968734,73.9464117685584
"Glossophaga.soricina","ssp126",5432126.78209522,4260983.09136081,2611926.84350294,61.1674915018051
"Lampronycteris.brachyotis","ssp126",1055196.09980677,435831.540094972,278269.680384338,61.0013070061852
"Myoprocta.acouchi","ssp126",650532.783283471,499801.04548049,434740.651151478,68.635436119378
"Glossophaga.longirostris","ssp585",2019062.98005696,662703.640886068,604931.693110108,66.5342659503166
"Hydrochoerus.hydrochaeris","ssp126",5439517.67587356,1862373.72422844,2162436.07938564,41.2750887874289
"Mazama.americana","ssp126",5232255.56865577,4211950.82340056,3245480.71011192,73.4583569116548
"Lampronycteris.brachyotis","ssp585",1055196.09980677,435831.540094972,260701.504674911,56.5058070746887
"Myoprocta.acouchi","ssp585",650532.783283471,499801.04548049,418195.132841229,68.3062448287709
"Heteromys.anomalus","ssp126",717544.12356719,604102.269808948,437869.349787474,58.9298033502462
